E,H,I,R,S,Time
134,0,10,0,9856,0.0665903
133,0,11,0,9856,0.0755861
132,0,12,0,9856,0.176591
131,0,13,0,9856,0.17953
130,0,14,0,9856,0.187656
129,0,15,0,9856,0.191727
129,0,14,1,9856,0.197042
128,0,15,1,9856,0.199092
127,0,16,1,9856,0.208069
128,0,16,1,9855,0.208393
128,0,15,2,9855,0.242939
129,0,15,2,9854,0.261411
128,0,16,2,9854,0.273819
129,0,16,2,9853,0.283634
128,0,17,2,9853,0.31379
127,0,18,2,9853,0.339538
126,0,19,2,9853,0.382692
125,0,20,2,9853,0.412975
126,0,20,2,9852,0.417778
125,0,21,2,9852,0.420335
124,0,22,2,9852,0.421792
123,0,23,2,9852,0.432218
122,0,24,2,9852,0.445884
121,0,25,2,9852,0.527259
120,0,26,2,9852,0.537366
121,0,26,2,9851,0.582629
122,0,26,2,9850,0.58586
121,0,27,2,9850,0.590078
120,0,28,2,9850,0.597359
121,0,28,2,9849,0.604673
121,0,27,3,9849,0.608515
120,0,28,3,9849,0.639591
119,0,29,3,9849,0.659794
120,0,29,3,9848,0.661479
119,0,30,3,9848,0.668447
120,0,30,3,9847,0.677253
119,0,31,3,9847,0.685954
118,0,32,3,9847,0.708701
117,0,33,3,9847,0.723244
116,0,34,3,9847,0.728826
116,0,33,4,9847,0.743865
117,0,33,4,9846,0.755176
117,0,32,5,9846,0.766178
116,0,33,5,9846,0.841418
116,0,32,6,9846,0.865228
117,0,32,6,9845,0.955806
116,0,33,6,9845,0.969031
115,0,34,6,9845,0.970407
114,0,35,6,9845,0.974938
113,0,36,6,9845,0.975303
113,0,35,7,9845,1.03619
114,0,35,7,9844,1.05335
113,0,36,7,9844,1.07025
114,0,36,7,9843,1.07667
113,0,37,7,9843,1.11353
112,0,38,7,9843,1.11768
112,0,37,8,9843,1.1524
111,0,38,8,9843,1.16478
112,0,38,8,9842,1.21577
111,0,39,8,9842,1.22342
111,0,38,9,9842,1.25014
112,0,38,9,9841,1.25385
111,0,39,9,9841,1.25852
110,0,40,9,9841,1.26264
111,0,40,9,9840,1.27314
112,0,40,9,9839,1.28509
113,0,40,9,9838,1.30655
112,0,41,9,9838,1.31684
113,0,41,9,9837,1.3688
114,0,41,9,9836,1.37357
115,0,41,9,9835,1.38188
116,0,41,9,9834,1.38578
115,0,42,9,9834,1.41395
116,0,42,9,9833,1.41614
115,0,43,9,9833,1.41616
115,0,42,10,9833,1.41976
114,0,43,10,9833,1.43138
114,0,42,11,9833,1.43733
115,0,42,11,9832,1.45232
115,0,41,12,9832,1.45761
114,0,42,12,9832,1.45964
113,0,43,12,9832,1.46682
114,0,43,12,9831,1.52461
115,0,43,12,9830,1.58547
115,0,42,13,9830,1.58614
114,0,43,13,9830,1.58932
113,0,44,13,9830,1.6088
114,0,44,13,9829,1.62672
