A,C,DA,DR,D_A,D_R,MA,MR,R,Time
0,0,1,1,0,0,1,0,0,0.0121362
0,0,1,1,0,0,2,0,0,0.0239176
1,0,1,1,0,0,2,0,0,0.0345902
1,0,1,1,0,0,3,0,0,0.0371503
2,0,1,1,0,0,3,0,0,0.039226
3,0,1,1,0,0,3,0,0,0.0417992
4,0,1,1,0,0,3,0,0,0.045795
5,0,1,1,0,0,3,0,0,0.0485339
5,0,1,1,0,0,2,0,0,0.0602319
6,0,1,1,0,0,2,0,0,0.061834
6,0,1,1,0,0,3,0,0,0.0662275
6,0,1,1,0,0,2,0,0,0.0733248
6,0,1,1,0,0,1,0,0,0.0837005
6,0,1,1,0,0,2,0,0,0.0940471
6,0,1,1,0,0,1,0,0,0.0957125
5,0,0,1,1,0,1,0,0,0.102526
5,0,0,1,1,0,2,0,0,0.10615
5,0,0,1,1,0,3,0,0,0.106966
5,0,0,1,1,0,4,0,0,0.10711
5,0,0,1,1,0,5,0,0,0.108925
5,0,0,1,1,0,6,0,0,0.109162
5,0,0,1,1,0,5,0,0,0.109307
6,0,0,1,1,0,5,0,0,0.109473
6,0,0,1,1,0,6,0,0,0.110022
6,0,0,1,1,0,7,0,0,0.110629
7,0,0,1,1,0,7,0,0,0.11111
7,0,0,1,1,0,8,0,0,0.112517
7,0,0,1,1,0,9,0,0,0.112766
8,0,0,1,1,0,9,0,0,0.113054
7,0,0,1,1,0,9,0,0,0.113085
8,0,1,1,0,0,9,0,0,0.115243
9,0,1,1,0,0,9,0,0,0.115759
9,0,1,1,0,0,8,0,0,0.118129
9,0,1,1,0,0,7,0,0,0.121041
9,0,1,1,0,0,8,0,0,0.122156
10,0,1,1,0,0,8,0,0,0.124103
11,0,1,1,0,0,8,0,0,0.125159
10,0,0,1,1,0,8,0,0,0.130494
11,0,0,1,1,0,8,0,0,0.130532
12,0,0,1,1,0,8,0,0,0.130618
12,0,0,1,1,0,9,0,0,0.130708
12,0,0,1,1,0,10,0,0,0.131467
12,0,0,1,1,0,11,0,0,0.132595
12,0,0,1,1,0,12,0,0,0.133963
13,0,0,1,1,0,12,0,0,0.134855
14,0,0,1,1,0,12,0,0,0.135064
14,0,0,1,1,0,11,0,0,0.135458
14,0,0,1,1,0,12,0,0,0.135471
14,0,0,1,1,0,13,0,0,0.135804
14,0,0,1,1,0,14,0,0,0.136114
14,0,0,1,1,0,15,0,0,0.136297
15,0,1,1,0,0,15,0,0,0.136465
16,0,1,1,0,0,15,0,0,0.137692
17,0,1,1,0,0,15,0,0,0.138262
17,0,1,1,0,0,14,0,0,0.139228
18,0,1,1,0,0,14,0,0,0.139367
19,0,1,1,0,0,14,0,0,0.140133
20,0,1,1,0,0,14,0,0,0.141291
21,0,1,1,0,0,14,0,0,0.141418
22,0,1,1,0,0,14,0,0,0.141727
23,0,1,1,0,0,14,0,0,0.141816
24,0,1,1,0,0,14,0,0,0.1423
25,0,1,1,0,0,14,0,0,0.14412
26,0,1,1,0,0,14,0,0,0.144195
27,0,1,1,0,0,14,0,0,0.146855
28,0,1,1,0,0,14,0,0,0.146921
29,0,1,1,0,0,14,0,0,0.147725
30,0,1,1,0,0,14,0,0,0.147842
29,0,1,0,0,1,14,0,0,0.148245
30,0,1,0,0,1,14,0,0,0.149677
31,0,1,0,0,1,14,0,0,0.149773
32,0,1,0,0,1,14,0,0,0.150049
33,0,1,0,0,1,14,0,0,0.151601
34,0,1,0,0,1,14,0,0,0.15206
35,0,1,0,0,1,14,0,0,0.152165
35,0,1,0,0,1,15,0,0,0.154421
36,0,1,0,0,1,15,0,0,0.154732
36,0,1,0,0,1,15,1,0,0.157255
37,0,1,0,0,1,15,1,0,0.158323
38,0,1,0,0,1,15,1,0,0.158435
39,0,1,1,0,0,15,1,0,0.158646
40,0,1,1,0,0,15,1,0,0.158864
41,0,1,1,0,0,15,1,0,0.158906
42,0,1,1,0,0,15,1,0,0.159965
43,0,1,1,0,0,15,1,0,0.16184
43,0,1,1,0,0,16,1,0,0.161941
44,0,1,1,0,0,16,1,0,0.162344
45,0,1,1,0,0,16,1,0,0.16495
46,0,1,1,0,0,16,1,0,0.165564
47,0,1,1,0,0,16,1,0,0.167063
47,0,1,1,0,0,15,1,0,0.167453
48,0,1,1,0,0,15,1,0,0.168297
49,0,1,1,0,0,15,1,0,0.168394
49,0,1,1,0,0,14,1,0,0.168565
50,0,1,1,0,0,14,1,0,0.168721
51,0,1,1,0,0,14,1,0,0.169478
52,0,1,1,0,0,14,1,0,0.172036
53,0,1,1,0,0,14,1,0,0.172694
54,0,1,1,0,0,14,1,0,0.173678
55,0,1,1,0,0,14,1,0,0.174507
56,0,1,1,0,0,14,1,0,0.175228
57,0,1,1,0,0,14,1,0,0.176697
57,0,1,1,0,0,15,1,0,0.177474
57,0,1,1,0,0,14,1,0,0.178261
58,0,1,1,0,0,14,1,0,0.178552
58,0,1,1,0,0,13,1,0,0.178631
59,0,1,1,0,0,13,1,0,0.179478
60,0,1,1,0,0,13,1,0,0.179822
61,0,1,1,0,0,13,1,0,0.180539
61,0,1,1,0,0,12,1,0,0.180852
62,0,1,1,0,0,12,1,0,0.181211
63,0,1,1,0,0,12,1,0,0.183823
64,0,1,1,0,0,12,1,0,0.184815
63,0,1,1,0,0,12,1,0,0.185112
63,0,1,1,0,0,11,1,0,0.185172
64,0,1,1,0,0,11,1,0,0.186284
65,0,1,1,0,0,11,1,0,0.187147
64,0,1,0,0,1,11,1,0,0.187424
64,0,1,0,0,1,10,1,0,0.187664
64,0,1,0,0,1,10,2,0,0.189688
65,0,1,0,0,1,10,2,0,0.18992
65,0,1,0,0,1,11,2,0,0.190887
64,0,0,0,1,1,11,2,0,0.192426
64,0,0,0,1,1,12,2,0,0.193804
65,0,0,0,1,1,12,2,0,0.194445
65,0,0,0,1,1,13,2,0,0.194967
65,0,0,0,1,1,14,2,0,0.195547
65,0,0,0,1,1,14,3,0,0.195614
66,0,0,0,1,1,14,3,0,0.197052
67,0,0,0,1,1,14,3,0,0.197377
67,0,0,0,1,1,13,3,0,0.197781
68,0,0,0,1,1,13,3,0,0.19816
68,0,0,0,1,1,13,3,1,0.198234
69,0,0,1,1,0,13,3,1,0.198255
70,0,0,1,1,0,13,3,1,0.198531
70,0,0,1,1,0,14,3,1,0.199738
71,0,0,1,1,0,14,3,1,0.200313
72,0,0,1,1,0,14,3,1,0.200428
71,0,0,1,1,0,14,3,1,0.202066
72,0,0,1,1,0,14,3,1,0.203723
73,0,0,1,1,0,14,3,1,0.204366
74,0,0,1,1,0,14,3,1,0.205922
75,0,1,1,0,0,14,3,1,0.206029
74,0,1,0,0,1,14,3,1,0.206176
74,0,1,0,0,1,13,3,1,0.207671
75,0,1,1,0,0,13,3,1,0.208422
74,0,1,0,0,1,13,3,1,0.209531
74,0,1,0,0,1,12,3,1,0.210045
75,0,1,0,0,1,12,3,1,0.211475
76,0,1,1,0,0,12,3,1,0.213663
75,1,1,1,0,0,12,3,0,0.214211
74,1,1,1,0,0,12,3,0,0.214878
73,1,0,1,1,0,12,3,0,0.215097
73,1,0,1,1,0,11,3,0,0.215748
74,1,0,1,1,0,11,3,0,0.216001
73,1,0,0,1,1,11,3,0,0.216308
72,1,0,0,1,1,11,3,0,0.218114
72,1,0,0,1,1,12,3,0,0.2199
72,1,0,0,1,1,13,3,0,0.220232
72,1,0,0,1,1,14,3,0,0.2206
73,1,0,0,1,1,14,3,0,0.220647
73,1,0,0,1,1,15,3,0,0.221022
74,1,0,0,1,1,15,3,0,0.221094
75,1,0,0,1,1,15,3,0,0.221102
76,1,0,0,1,1,15,3,0,0.221583
77,1,0,1,1,0,15,3,0,0.221678
78,1,0,1,1,0,15,3,0,0.222124
79,1,0,1,1,0,15,3,0,0.222264
79,1,0,1,1,0,16,3,0,0.224598
80,1,0,1,1,0,16,3,0,0.22533
80,1,0,1,1,0,17,3,0,0.22831
81,1,0,1,1,0,17,3,0,0.228696
81,0,0,1,1,0,17,3,1,0.228964
82,0,0,1,1,0,17,3,1,0.229679
83,0,0,1,1,0,17,3,1,0.230339
84,0,0,1,1,0,17,3,1,0.23035
85,0,0,1,1,0,17,3,1,0.230442
86,0,0,1,1,0,17,3,1,0.230779
86,0,0,1,1,0,18,3,1,0.231454
87,0,0,1,1,0,18,3,1,0.231546
87,0,0,1,1,0,17,3,1,0.231902
88,0,0,1,1,0,17,3,1,0.23273
88,0,0,1,1,0,18,3,1,0.233878
89,0,0,1,1,0,18,3,1,0.234716
89,0,0,1,1,0,17,3,1,0.235578
89,0,0,1,1,0,16,3,1,0.235771
88,1,0,1,1,0,16,3,0,0.23583
89,1,0,1,1,0,16,3,0,0.235924
89,1,0,1,1,0,17,3,0,0.237681
89,1,0,1,1,0,18,3,0,0.238348
90,1,0,1,1,0,18,3,0,0.239895
90,1,0,1,1,0,17,3,0,0.242708
91,1,0,1,1,0,17,3,0,0.244196
91,1,0,1,1,0,18,3,0,0.244546
92,1,0,1,1,0,18,3,0,0.245141
