A,B,C,Time
99,1,2,0.0731096
98,2,2,13.3143
97,3,2,17.3883
96,4,2,21.8094
95,5,2,32.0923
94,6,2,35.7307
93,7,2,42.7192
92,8,2,51.6798
91,9,2,52.0361
90,10,2,55.4521
89,11,2,59.1978
88,12,2,64.9893
87,13,2,90.7092
86,14,2,91.141
85,15,2,95.2955
84,16,2,95.5998
83,17,2,110.562
82,18,2,113.668
81,19,2,114.529
80,20,2,119.154
79,21,2,124.15
78,22,2,127.44
77,23,2,138.552
76,24,2,144.311
75,25,2,155.615
74,26,2,159.938
73,27,2,163.659
72,28,2,173.264
71,29,2,176.972
70,30,2,182.538
69,31,2,189.495
68,32,2,198.136
67,33,2,200.489
66,34,2,215.789
65,35,2,230.654
64,36,2,245.527
63,37,2,249.997
62,38,2,256.234
61,39,2,258.357
60,40,2,258.428
59,41,2,266.856
58,42,2,268.573
57,43,2,279.49
56,44,2,280.04
55,45,2,294.563
54,46,2,298.702
53,47,2,304.303
52,48,2,326.456
51,49,2,331.876
50,50,2,344.714
49,51,2,369.024
48,52,2,379.528
47,53,2,380.15
46,54,2,389.165
45,55,2,389.685
44,56,2,395.318
43,57,2,403.049
42,58,2,405.7
41,59,2,406.697
40,60,2,409.278
39,61,2,415.548
38,62,2,417.789
37,63,2,418.263
36,64,2,420.301
35,65,2,431.573
34,66,2,439.846
33,67,2,444.951
32,68,2,466.119
31,69,2,502.258
30,70,2,507.559
29,71,2,536.887
28,72,2,549.422
27,73,2,579.589
26,74,2,602.66
25,75,2,604.83
24,76,2,623.439
23,77,2,624.222
22,78,2,646.496
21,79,2,648.516
20,80,2,696.21
19,81,2,704.633
18,82,2,737.119
17,83,2,848.171
16,84,2,864.524
15,85,2,897.216
14,86,2,934.39
13,87,2,945.428
12,88,2,948.402
11,89,2,966.121
10,90,2,970.774
9,91,2,1025.73
8,92,2,1201.69
7,93,2,1335.78
6,94,2,1372.71
5,95,2,1391.64
4,96,2,1753.71
