A,B,C,Time
99,1,2,0.216655
98,2,2,3.69398
97,3,2,6.55003
96,4,2,9.40024
95,5,2,15.2053
94,6,2,15.7242
93,7,2,22.2336
92,8,2,24.0519
91,9,2,27.2406
90,10,2,28.6161
89,11,2,30.5828
88,12,2,36.8679
87,13,2,36.9465
86,14,2,39.1027
85,15,2,49.5442
84,16,2,49.6455
83,17,2,52.4262
82,18,2,57.9852
81,19,2,61.3028
80,20,2,65.1404
79,21,2,73.836
78,22,2,83.8975
77,23,2,94.6557
76,24,2,96.0933
75,25,2,109.711
74,26,2,112.689
73,27,2,114.564
72,28,2,119.217
71,29,2,122.922
70,30,2,133.489
69,31,2,139.771
68,32,2,148.162
67,33,2,148.827
66,34,2,162.373
65,35,2,166.93
64,36,2,177.433
63,37,2,177.815
62,38,2,203.423
61,39,2,226.36
60,40,2,227.035
59,41,2,237.34
58,42,2,262.941
57,43,2,277.694
56,44,2,290.635
55,45,2,293.998
54,46,2,301.168
53,47,2,311.702
52,48,2,312.375
51,49,2,324.225
50,50,2,325.818
49,51,2,341.054
48,52,2,343.128
47,53,2,362.969
46,54,2,370.076
45,55,2,372.665
44,56,2,373.061
43,57,2,377.452
42,58,2,378.014
41,59,2,401.931
40,60,2,404.249
39,61,2,437.634
38,62,2,447.027
37,63,2,448.558
36,64,2,460.884
35,65,2,469.913
34,66,2,471.369
33,67,2,491.025
32,68,2,496.497
31,69,2,505.684
30,70,2,511.888
29,71,2,530.184
28,72,2,540.788
27,73,2,543.334
26,74,2,653.213
25,75,2,656.68
24,76,2,699.273
23,77,2,735.145
22,78,2,778.679
21,79,2,779.186
20,80,2,852.307
19,81,2,896.89
18,82,2,949.38
17,83,2,976.751
16,84,2,980.68
15,85,2,1047.56
14,86,2,1049.2
13,87,2,1101.7
12,88,2,1114.35
11,89,2,1121.55
10,90,2,1141.98
9,91,2,1163.69
8,92,2,1173.94
7,93,2,1246.62
6,94,2,1372.41
5,95,2,1387.01
4,96,2,1449.78
3,97,2,1573.17
